total_bill,sex,smoker,day,time,size,tip
12.16,1.00,Yes,Friday,Lunch,2,2.2
21.5,1.00,No,Sunday,Dinner,4,3.5
10.33,0.00,No,Thursday,Lunch,2,2
14.78,1.00,No,Sunday,Dinner,2,3.23
18.04,1.00,No,Sunday,Dinner,2,3
26.88,1.00,No,Sunday,Dinner,4,3.12
34.83,0.00,No,Thursday,Lunch,4,5.17
23.33,1.00,Yes,Sunday,Dinner,2,5.65
12.46,1.00,No,Friday,Dinner,2,1.5
21.7,1.00,No,Saturday,Dinner,2,4.3
10.27,1.00,No,Sunday,Dinner,2,1.71
29.8,0.00,No,Thursday,Lunch,6,4.2
32.9,1.00,Yes,Sunday,Dinner,2,3.11
15.81,1.00,Yes,Saturday,Dinner,2,3.16
38.73,1.00,Yes,Saturday,Dinner,4,3
21.01,1.00,Yes,Friday,Dinner,2,3
20.29,1.00,Yes,Saturday,Dinner,2,3.21
16.45,0.00,No,Saturday,Dinner,2,2.47
50.81,1.00,Yes,Saturday,Dinner,3,10
11.87,0.00,No,Thursday,Lunch,2,1.63
15.06,0.00,No,Saturday,Dinner,2,3
12.6,1.00,Yes,Saturday,Dinner,2,1
28.97,1.00,Yes,Friday,Dinner,2,3
18.29,1.00,No,Sunday,Dinner,2,3
7.25,1.00,Yes,Sunday,Dinner,2,5.15
19.77,1.00,No,Sunday,Dinner,4,2
28.44,1.00,Yes,Thursday,Lunch,2,2.56
7.56,1.00,No,Thursday,Lunch,2,1.44
15.04,1.00,No,Sunday,Dinner,2,1.96
22.75,0.00,No,Friday,Dinner,2,3.25
24.06,1.00,No,Saturday,Dinner,3,3.6
20.53,1.00,Yes,Thursday,Lunch,4,4
20.65,1.00,No,Saturday,Dinner,3,3.35
12.69,1.00,No,Saturday,Dinner,2,2
30.06,1.00,Yes,Saturday,Dinner,3,2
29.85,0.00,No,Sunday,Dinner,5,5.14
24.71,1.00,No,Thursday,Lunch,2,5.85
19.81,0.00,Yes,Thursday,Lunch,2,4.19
48.27,1.00,No,Saturday,Dinner,4,6.73
26.59,1.00,Yes,Saturday,Dinner,3,3.41
40.17,1.00,Yes,Friday,Dinner,4,4.73
17.51,0.00,Yes,Sunday,Dinner,2,3
16.04,1.00,No,Saturday,Dinner,3,2.24
10.65,0.00,No,Thursday,Lunch,2,1.5
13.81,1.00,No,Sunday,Dinner,2,2
14.52,0.00,No,Thursday,Lunch,2,2
19.82,1.00,No,Saturday,Dinner,2,3.18
14.26,1.00,No,Thursday,Lunch,2,2.5
16.4,0.00,Yes,Thursday,Lunch,2,2.5
20.29,0.00,No,Saturday,Dinner,2,2.75
34.63,1.00,Yes,Sunday,Dinner,2,3.55
22.42,0.00,Yes,Saturday,Dinner,2,3.48
16.58,1.00,Yes,Thursday,Lunch,2,4
20.76,1.00,No,Sunday,Dinner,2,2.24
7.25,0.00,No,Saturday,Dinner,1,1
14.73,0.00,No,Saturday,Dinner,2,2.2
25.21,1.00,Yes,Saturday,Dinner,2,4.29
11.24,1.00,Yes,Saturday,Dinner,2,1.76
24.27,1.00,Yes,Saturday,Dinner,2,2.03
16.31,1.00,No,Saturday,Dinner,3,2
18.64,0.00,No,Thursday,Lunch,3,1.36
22.23,1.00,No,Sunday,Dinner,2,5
16.21,0.00,No,Sunday,Dinner,3,2
16.43,0.00,No,Thursday,Lunch,2,2.3
15.42,1.00,No,Sunday,Dinner,2,1.57
31.85,1.00,Yes,Sunday,Dinner,2,3.18
12.43,0.00,No,Thursday,Lunch,2,1.8
13.42,0.00,No,Thursday,Lunch,2,1.68
18.71,1.00,Yes,Thursday,Lunch,3,4
16.66,1.00,No,Thursday,Lunch,2,3.4
10.77,1.00,No,Saturday,Dinner,2,1.47
18.24,1.00,No,Saturday,Dinner,2,3.76
24.08,0.00,No,Thursday,Lunch,4,2.92
34.81,0.00,No,Sunday,Dinner,4,5.2
38.01,1.00,Yes,Saturday,Dinner,4,3
28.15,1.00,Yes,Saturday,Dinner,5,3
19.49,1.00,No,Sunday,Dinner,2,3.51
13.28,1.00,No,Saturday,Dinner,2,2.72
16.93,0.00,No,Saturday,Dinner,3,3.07
10.63,0.00,Yes,Saturday,Dinner,2,2
13.94,1.00,No,Sunday,Dinner,2,3.06
34.3,1.00,No,Thursday,Lunch,6,6.7
30.46,1.00,Yes,Sunday,Dinner,5,2
12.66,1.00,No,Sunday,Dinner,2,2.5
35.83,0.00,No,Saturday,Dinner,3,4.67
17.07,0.00,No,Saturday,Dinner,3,3
9.6,0.00,Yes,Sunday,Dinner,2,4
20.45,1.00,No,Saturday,Dinner,4,3
20.23,1.00,No,Saturday,Dinner,2,2.01
16.82,1.00,Yes,Sunday,Dinner,2,4
26.41,0.00,No,Saturday,Dinner,2,1.5
16.27,0.00,Yes,Friday,Lunch,2,2.5
23.95,1.00,No,Sunday,Dinner,2,2.55
14.83,0.00,No,Sunday,Dinner,2,3.02
12.03,1.00,Yes,Friday,Dinner,2,1.5
14.31,0.00,Yes,Saturday,Dinner,2,4
10.34,1.00,No,Sunday,Dinner,3,1.66
22.12,0.00,Yes,Saturday,Dinner,2,2.88
20.08,1.00,No,Saturday,Dinner,3,3.15
19.44,1.00,Yes,Thursday,Lunch,2,3
12.26,0.00,No,Thursday,Lunch,2,2
29.93,1.00,No,Sunday,Dinner,4,5.07
13.13,1.00,No,Sunday,Dinner,2,2
39.42,1.00,No,Saturday,Dinner,4,7.58
24.55,1.00,No,Sunday,Dinner,4,2
16.49,1.00,No,Sunday,Dinner,4,2
20.69,1.00,No,Sunday,Dinner,5,5
8.77,1.00,No,Sunday,Dinner,2,2
12.9,0.00,Yes,Saturday,Dinner,2,1.1
21.01,1.00,No,Sunday,Dinner,3,3.5
10.29,0.00,No,Sunday,Dinner,2,2.6
43.11,0.00,Yes,Thursday,Lunch,4,5
24.59,0.00,No,Sunday,Dinner,4,3.61
17.92,1.00,Yes,Saturday,Dinner,2,3.08
48.17,1.00,No,Sunday,Dinner,6,5
15.48,1.00,Yes,Thursday,Lunch,2,2.02
13,0.00,Yes,Thursday,Lunch,2,2
8.58,1.00,Yes,Friday,Lunch,1,1.92
17.26,1.00,No,Sunday,Dinner,3,2.74
17.89,1.00,Yes,Sunday,Dinner,2,2
20.49,1.00,Yes,Saturday,Dinner,2,4.06
11.61,1.00,No,Saturday,Dinner,2,3.39
30.14,0.00,Yes,Saturday,Dinner,4,3.09
17.81,1.00,No,Saturday,Dinner,4,2.34
16,1.00,Yes,Thursday,Lunch,2,2
22.67,1.00,Yes,Saturday,Dinner,2,2
10.51,1.00,No,Saturday,Dinner,2,1.25
32.68,1.00,Yes,Thursday,Lunch,2,5
13,0.00,Yes,Thursday,Lunch,2,2
8.35,0.00,No,Thursday,Lunch,2,1.5
17.47,0.00,No,Thursday,Lunch,2,3.5
13.16,0.00,No,Thursday,Lunch,2,2.75
13.42,0.00,Yes,Friday,Lunch,2,3.48
8.51,0.00,No,Thursday,Lunch,2,1.25
17.46,1.00,No,Sunday,Dinner,2,2.54
21.16,1.00,No,Thursday,Lunch,2,3
48.33,1.00,No,Saturday,Dinner,4,9
27.05,0.00,No,Thursday,Lunch,6,5
10.33,0.00,No,Sunday,Dinner,3,1.67
17.59,1.00,No,Saturday,Dinner,3,2.64
13.03,1.00,No,Thursday,Lunch,2,2
32.4,1.00,No,Sunday,Dinner,4,6
7.74,1.00,Yes,Saturday,Dinner,2,1.44
15.01,1.00,Yes,Saturday,Dinner,2,2.09
14.07,1.00,No,Sunday,Dinner,2,2.5
15.77,0.00,No,Saturday,Dinner,2,2.23
16.32,0.00,Yes,Friday,Dinner,2,4.3
17.31,0.00,No,Sunday,Dinner,2,3.5
11.69,1.00,No,Thursday,Lunch,2,2.31
26.86,0.00,Yes,Saturday,Dinner,2,3.14
15.95,1.00,No,Thursday,Lunch,2,2
15.38,0.00,Yes,Friday,Dinner,2,3
28.55,1.00,No,Sunday,Dinner,3,2.05
25.56,1.00,No,Sunday,Dinner,4,4.34
19.65,0.00,No,Saturday,Dinner,2,3
11.17,0.00,No,Thursday,Lunch,2,1.5
28.17,0.00,Yes,Saturday,Dinner,3,6.5
13.51,1.00,Yes,Thursday,Lunch,2,2
18.29,1.00,Yes,Saturday,Dinner,4,3.76
27.28,1.00,Yes,Friday,Dinner,2,4
12.54,1.00,No,Sunday,Dinner,2,2.5
11.38,0.00,No,Thursday,Lunch,2,2
30.4,1.00,No,Sunday,Dinner,4,5.6
25.71,0.00,No,Sunday,Dinner,3,4
13.81,1.00,Yes,Saturday,Dinner,2,2
9.94,1.00,No,Sunday,Dinner,2,1.56
25.29,1.00,No,Sunday,Dinner,4,4.71
45.35,1.00,Yes,Sunday,Dinner,3,3.5
15.53,1.00,Yes,Saturday,Dinner,2,3
41.19,1.00,No,Thursday,Lunch,5,5
24.01,1.00,Yes,Saturday,Dinner,4,2
13.39,0.00,No,Sunday,Dinner,2,2.61
12.48,0.00,No,Thursday,Lunch,2,2.52
15.36,1.00,Yes,Saturday,Dinner,2,1.64
31.27,1.00,No,Saturday,Dinner,3,5
21.58,1.00,No,Sunday,Dinner,2,3.92
18.26,0.00,No,Thursday,Lunch,2,3.25
16.99,0.00,No,Sunday,Dinner,2,1.01
3.07,0.00,Yes,Saturday,Dinner,1,1
15.69,1.00,Yes,Saturday,Dinner,3,3
16.47,0.00,Yes,Thursday,Lunch,3,3.23
20.27,0.00,No,Thursday,Lunch,2,2.83
16.97,0.00,No,Sunday,Dinner,3,3.5
11.02,1.00,Yes,Saturday,Dinner,2,1.98
18.69,1.00,No,Saturday,Dinner,3,2.31
25.28,0.00,Yes,Saturday,Dinner,2,5
7.51,1.00,No,Thursday,Lunch,2,2
23.68,1.00,No,Sunday,Dinner,2,3.31
17.82,1.00,No,Saturday,Dinner,2,1.75
9.55,1.00,No,Saturday,Dinner,2,1.45
38.07,1.00,No,Sunday,Dinner,3,4
40.55,1.00,Yes,Sunday,Dinner,2,3
14.15,0.00,No,Thursday,Lunch,2,2
25,0.00,No,Sunday,Dinner,4,3.75
18.28,1.00,No,Thursday,Lunch,2,4
17.29,1.00,No,Thursday,Lunch,2,2.71
18.43,1.00,No,Sunday,Dinner,4,3
18.78,0.00,No,Thursday,Dinner,2,3
15.98,0.00,No,Friday,Lunch,3,3
